id,tenant_id,asset_id,device_id,in_at,out_at,extra_attributes,created_at,updated_at
19,56,1012,878,2021-04-02 04:07:50,2021-04-02 14:48:42,,2021-04-02 04:07:50,2021-04-02 14:48:42
20,56,1655,438,2021-04-02 04:07:59,2021-04-02 14:25:17,,2021-04-02 04:07:59,2021-04-02 14:25:17
21,56,1035,886,2021-04-02 04:08:12,2021-04-02 14:46:02,,2021-04-02 04:08:12,2021-04-02 14:46:02
22,56,1145,886,2021-04-02 04:08:17,2021-04-03 14:37:36,,2021-04-02 04:08:17,2021-04-03 14:37:36
23,56,1778,804,2021-04-02 04:08:31,2021-04-02 14:48:02,,2021-04-02 04:08:31,2021-04-02 14:48:02
24,56,1145,853,2021-04-02 04:08:35,2021-04-02 14:23:06,,2021-04-02 04:08:35,2021-04-02 14:23:06
25,56,1207,1082,2021-04-02 04:08:38,2021-04-02 14:32:03,,2021-04-02 04:08:38,2021-04-02 14:32:03
26,56,1830,432,2021-04-02 04:08:51,2021-04-02 14:47:57,,2021-04-02 04:08:51,2021-04-02 14:47:57
27,56,1479,432,2021-04-02 04:08:51,2021-04-03 03:23:52,,2021-04-02 04:08:51,2021-04-03 03:23:52
28,56,1629,466,2021-04-02 04:08:53,2021-04-02 14:20:31,,2021-04-02 04:08:53,2021-04-02 14:20:31
29,56,1830,687,2021-04-02 04:08:58,2021-04-02 14:20:34,,2021-04-02 04:08:58,2021-04-02 14:20:34
30,56,1317,1090,2021-04-02 04:09:05,2021-04-02 14:11:07,,2021-04-02 04:09:05,2021-04-02 14:11:07
31,56,1755,1142,2021-04-02 04:09:07,2021-04-02 14:33:14,,2021-04-02 04:09:07,2021-04-02 14:33:14
32,56,1592,698,2021-04-02 04:09:29,2021-04-02 14:12:37,,2021-04-02 04:09:29,2021-04-02 14:12:37
33,56,1511,485,2021-04-02 04:09:31,2021-04-02 14:11:00,,2021-04-02 04:09:31,2021-04-02 14:11:00
34,56,854,425,2021-04-02 04:09:33,2021-04-02 14:09:22,,2021-04-02 04:09:33,2021-04-02 14:09:22
35,56,1502,1025,2021-04-02 04:09:35,2021-04-02 14:09:28,,2021-04-02 04:09:35,2021-04-02 14:09:28
36,56,965,1039,2021-04-02 04:09:41,2021-04-02 14:11:04,,2021-04-02 04:09:41,2021-04-02 14:11:04
37,56,1001,1084,2021-04-02 04:09:52,2021-04-02 14:38:42,,2021-04-02 04:09:52,2021-04-02 14:38:42
38,56,984,1017,2021-04-02 04:10:06,2021-04-02 14:39:31,,2021-04-02 04:10:06,2021-04-02 14:39:31
39,56,1144,1028,2021-04-02 04:10:11,2021-04-02 14:09:11,,2021-04-02 04:10:11,2021-04-02 14:09:11
40,56,1128,890,2021-04-02 04:10:20,2021-04-02 14:09:05,,2021-04-02 04:10:20,2021-04-02 14:09:05
41,56,1183,846,2021-04-02 04:10:23,2021-04-02 14:39:47,,2021-04-02 04:10:23,2021-04-02 14:39:47
42,56,1482,953,2021-04-02 04:10:25,2021-04-02 14:07:36,,2021-04-02 04:10:25,2021-04-02 14:07:36
43,56,1048,486,2021-04-02 04:10:28,2021-04-02 14:23:11,,2021-04-02 04:10:28,2021-04-02 14:23:11
44,56,1143,849,2021-04-02 04:10:33,2021-04-02 14:28:03,,2021-04-02 04:10:33,2021-04-02 14:28:03
45,56,1153,444,2021-04-02 04:10:43,2021-04-02 14:23:16,,2021-04-02 04:10:43,2021-04-02 14:23:16
46,56,994,949,2021-04-02 04:10:49,2021-04-02 14:29:28,,2021-04-02 04:10:49,2021-04-02 14:29:28
47,56,1734,1087,2021-04-02 04:10:59,2021-04-02 14:08:59,,2021-04-02 04:10:59,2021-04-02 14:08:59
48,56,1364,1043,2021-04-02 04:11:07,2021-04-02 14:42:43,,2021-04-02 04:11:07,2021-04-02 14:42:43
49,56,1490,470,2021-04-02 04:11:08,2021-04-02 14:29:24,,2021-04-02 04:11:08,2021-04-02 14:29:24
50,56,1106,400,2021-04-02 04:11:17,2021-04-02 14:49:45,,2021-04-02 04:11:17,2021-04-02 14:49:45
51,56,1099,956,2021-04-02 04:11:26,2021-04-02 14:38:18,,2021-04-02 04:11:26,2021-04-02 14:38:18
52,56,1338,418,2021-04-02 04:11:34,2021-04-02 14:41:51,,2021-04-02 04:11:34,2021-04-02 14:41:51
53,56,1136,489,2021-04-02 04:11:35,2021-04-02 14:41:57,,2021-04-02 04:11:35,2021-04-02 14:41:57
54,56,1033,454,2021-04-02 04:12:00,2021-04-02 14:08:57,,2021-04-02 04:12:00,2021-04-02 14:08:57
55,56,1187,427,2021-04-02 04:12:03,2021-04-02 14:29:59,,2021-04-02 04:12:03,2021-04-02 14:29:59
56,56,1366,1036,2021-04-02 04:12:12,2021-04-02 14:23:12,,2021-04-02 04:12:12,2021-04-02 14:23:12
57,56,1185,837,2021-04-02 04:12:32,2021-04-02 14:25:44,,2021-04-02 04:12:32,2021-04-02 14:25:44
58,56,1360,814,2021-04-02 04:12:37,2021-04-02 14:23:16,,2021-04-02 04:12:37,2021-04-02 14:23:16
59,56,1134,467,2021-04-02 04:12:50,2021-04-02 14:53:55,,2021-04-02 04:12:50,2021-04-02 14:53:55
60,56,1591,1032,2021-04-02 04:13:00,2021-04-02 14:39:25,,2021-04-02 04:13:00,2021-04-02 14:39:25
61,56,1024,424,2021-04-02 04:13:08,2021-04-02 14:06:34,,2021-04-02 04:13:08,2021-04-02 14:06:34
62,56,1768,894,2021-04-02 04:13:15,2021-04-02 14:20:18,,2021-04-02 04:13:15,2021-04-02 14:20:18
63,56,1913,1010,2021-04-02 04:13:24,2021-04-02 14:12:15,,2021-04-02 04:13:24,2021-04-02 14:12:15
64,56,1909,973,2021-04-02 04:13:26,2021-04-02 14:12:03,,2021-04-02 04:13:26,2021-04-02 14:12:03
65,56,1656,1042,2021-04-02 04:13:32,2021-04-02 14:20:21,,2021-04-02 04:13:32,2021-04-02 14:20:21
66,56,1175,1022,2021-04-02 04:13:39,2021-04-02 14:22:19,,2021-04-02 04:13:39,2021-04-02 14:22:19
67,56,1829,1081,2021-04-02 04:14:08,2021-04-02 14:11:39,,2021-04-02 04:14:08,2021-04-02 14:11:39
68,56,1563,998,2021-04-02 04:14:19,2021-04-02 14:13:56,,2021-04-02 04:14:19,2021-04-02 14:13:56
69,56,1802,954,2021-04-02 04:14:43,2021-04-02 14:23:33,,2021-04-02 04:14:43,2021-04-02 14:23:33
70,56,1362,975,2021-04-02 04:15:29,2021-04-04 02:57:30,,2021-04-02 04:15:29,2021-04-04 02:57:30
71,56,838,570,2021-04-02 04:15:39,2021-04-02 14:46:15,,2021-04-02 04:15:39,2021-04-02 14:46:15
72,56,1630,1008,2021-04-02 04:15:51,2021-04-02 14:35:43,,2021-04-02 04:15:51,2021-04-02 14:35:43
73,56,1676,1337,2021-04-02 04:15:53,2021-04-02 14:46:25,,2021-04-02 04:15:53,2021-04-02 14:46:25
74,56,1684,465,2021-04-02 04:15:58,2021-04-02 14:12:11,,2021-04-02 04:15:58,2021-04-02 14:12:11
75,56,1671,1306,2021-04-02 04:16:00,2021-04-02 14:46:27,,2021-04-02 04:16:00,2021-04-02 14:46:27
76,56,1921,1272,2021-04-02 04:16:07,2021-04-02 14:47:41,,2021-04-02 04:16:07,2021-04-02 14:47:41
77,56,1361,1371,2021-04-02 04:16:16,2021-04-04 15:00:46,,2021-04-02 04:16:16,2021-04-04 15:00:46
78,56,1470,884,2021-04-02 04:16:22,2021-04-02 14:37:17,,2021-04-02 04:16:22,2021-04-02 14:37:17
79,56,887,828,2021-04-02 04:16:28,2021-04-02 14:49:11,,2021-04-02 04:16:28,2021-04-02 14:49:11
80,56,836,577,2021-04-02 04:16:33,2021-04-02 14:48:11,,2021-04-02 04:16:33,2021-04-02 14:48:11
81,56,842,1314,2021-04-02 04:16:43,2021-04-02 14:45:19,,2021-04-02 04:16:43,2021-04-02 14:45:19
82,56,1938,1141,2021-04-02 04:16:45,2021-04-02 14:22:15,,2021-04-02 04:16:45,2021-04-02 14:22:15
83,56,1861,1385,2021-04-02 04:16:51,2021-04-02 14:46:52,,2021-04-02 04:16:51,2021-04-02 14:46:52
84,56,1359,1018,2021-04-02 04:16:56,2021-04-02 14:38:38,,2021-04-02 04:16:56,2021-04-02 14:38:38
85,56,843,643,2021-04-02 04:16:57,2021-04-06 03:03:29,,2021-04-02 04:16:57,2021-04-06 03:03:29
86,56,1453,1006,2021-04-02 04:17:04,2021-04-02 14:29:12,,2021-04-02 04:17:04,2021-04-02 14:29:12
87,56,867,1268,2021-04-02 04:17:06,2021-04-03 14:53:46,,2021-04-02 04:17:06,2021-04-03 14:53:46
88,56,794,972,2021-04-02 04:17:29,2021-04-04 03:00:35,,2021-04-02 04:17:29,2021-04-04 03:00:35
89,56,1029,1380,2021-04-02 04:17:35,2021-04-02 14:47:52,,2021-04-02 04:17:35,2021-04-02 14:47:52
90,56,1191,889,2021-04-02 04:17:37,2021-04-02 14:42:58,,2021-04-02 04:17:37,2021-04-02 14:42:58
91,56,1097,802,2021-04-02 04:17:52,2021-04-08 14:56:27,,2021-04-02 04:17:52,2021-04-08 14:56:27
92,56,902,832,2021-04-02 04:18:05,2021-04-02 14:49:14,,2021-04-02 04:18:05,2021-04-02 14:49:14
93,56,786,1248,2021-04-02 04:18:25,2021-04-03 14:46:09,,2021-04-02 04:18:25,2021-04-03 14:46:09
94,56,835,841,2021-04-02 04:18:34,2021-04-08 14:57:28,,2021-04-02 04:18:34,2021-04-08 14:57:28
95,56,1645,1299,2021-04-02 04:18:40,2021-04-03 03:07:51,,2021-04-02 04:18:40,2021-04-03 03:07:51
96,56,990,795,2021-04-02 04:18:41,2021-04-02 14:48:57,,2021-04-02 04:18:41,2021-04-02 14:48:57
97,56,821,1254,2021-04-02 04:18:50,2021-04-04 03:01:30,,2021-04-02 04:18:50,2021-04-04 03:01:30
98,56,910,564,2021-04-02 04:18:56,2021-04-02 14:49:17,,2021-04-02 04:18:56,2021-04-02 14:49:17
99,56,1953,594,2021-04-02 04:19:06,2021-04-03 14:55:01,,2021-04-02 04:19:06,2021-04-03 14:55:01
100,56,1601,817,2021-04-02 04:19:16,2021-04-02 14:08:16,,2021-04-02 04:19:16,2021-04-02 14:08:16
101,56,1649,1260,2021-04-02 04:19:18,2021-04-02 14:49:04,,2021-04-02 04:19:18,2021-04-02 14:49:04
102,56,846,1041,2021-04-02 04:19:20,2021-04-02 14:27:53,,2021-04-02 04:19:20,2021-04-02 14:27:53
103,56,857,996,2021-04-02 04:20:22,2021-04-03 03:02:39,,2021-04-02 04:20:22,2021-04-03 03:02:39
104,56,862,960,2021-04-02 04:20:41,2021-04-02 14:07:50,,2021-04-02 04:20:41,2021-04-02 14:07:50
105,56,834,1026,2021-04-02 04:20:49,2021-04-02 14:08:53,,2021-04-02 04:20:49,2021-04-02 14:08:53
106,56,837,1316,2021-04-02 04:20:57,2021-04-04 15:00:28,,2021-04-02 04:20:57,2021-04-04 15:00:28
107,56,1598,1023,2021-04-02 04:21:02,2021-04-02 14:39:09,,2021-04-02 04:21:02,2021-04-02 14:39:09
108,56,756,521,2021-04-02 04:21:39,2021-04-02 14:50:43,,2021-04-02 04:21:39,2021-04-02 14:50:43
109,56,808,459,2021-04-02 04:21:48,2021-04-02 14:11:57,,2021-04-02 04:21:48,2021-04-02 14:11:57
110,56,1084,842,2021-04-02 04:21:53,2021-04-02 15:01:03,,2021-04-02 04:21:53,2021-04-02 15:01:03
111,56,1622,1356,2021-04-02 04:22:16,2021-04-04 03:10:56,,2021-04-02 04:22:16,2021-04-04 03:10:56
112,56,1494,988,2021-04-02 04:22:25,2021-04-03 14:41:35,,2021-04-02 04:22:25,2021-04-03 14:41:35
113,56,748,556,2021-04-02 04:23:04,2021-04-08 14:54:04,,2021-04-02 04:23:04,2021-04-08 14:54:04
114,56,1927,818,2021-04-02 04:23:10,2021-04-03 02:57:32,,2021-04-02 04:23:10,2021-04-03 02:57:32
115,56,1723,1088,2021-04-02 04:23:19,2021-04-02 14:40:31,,2021-04-02 04:23:19,2021-04-02 14:40:31
116,56,1318,800,2021-04-02 04:23:23,2021-04-03 14:54:16,,2021-04-02 04:23:23,2021-04-03 14:54:16
117,56,1612,1287,2021-04-02 04:23:35,2021-04-06 03:04:43,,2021-04-02 04:23:35,2021-04-06 03:04:43
118,56,856,820,2021-04-02 04:23:47,2021-04-06 03:07:56,,2021-04-02 04:23:47,2021-04-06 03:07:56
119,56,1710,1302,2021-04-02 04:23:55,2021-04-08 14:50:24,,2021-04-02 04:23:55,2021-04-08 14:50:24
120,56,1761,573,2021-04-02 04:24:08,2021-04-03 15:07:41,,2021-04-02 04:24:08,2021-04-03 15:07:41
121,56,881,573,2021-04-02 04:24:12,2021-04-04 14:58:40,,2021-04-02 04:24:12,2021-04-04 14:58:40
122,56,1931,1377,2021-04-02 04:24:18,2021-04-08 15:11:12,,2021-04-02 04:24:18,2021-04-08 15:11:12
123,56,1915,1275,2021-04-02 04:24:22,2021-04-04 14:59:08,,2021-04-02 04:24:22,2021-04-04 14:59:08
124,56,1556,1143,2021-04-02 04:24:31,2021-04-02 14:30:42,,2021-04-02 04:24:31,2021-04-02 14:30:42
125,56,1565,552,2021-04-02 04:24:36,2021-04-07 14:57:44,,2021-04-02 04:24:36,2021-04-07 14:57:44
126,56,1767,845,2021-04-02 04:24:56,2021-04-02 14:39:38,,2021-04-02 04:24:56,2021-04-02 14:39:38
127,56,1218,574,2021-04-02 04:25:13,2021-04-08 14:54:18,,2021-04-02 04:25:13,2021-04-08 14:54:18
128,56,859,881,2021-04-02 04:25:16,2021-04-02 14:21:41,,2021-04-02 04:25:16,2021-04-02 14:21:41
129,56,969,1045,2021-04-02 04:25:22,2021-04-03 15:06:46,,2021-04-02 04:25:22,2021-04-03 15:06:46
130,56,894,419,2021-04-02 04:25:27,2021-04-02 14:10:22,,2021-04-02 04:25:27,2021-04-02 14:10:22
131,56,796,980,2021-04-02 04:25:30,2021-04-04 02:58:56,,2021-04-02 04:25:30,2021-04-04 02:58:56
132,56,1019,844,2021-04-02 04:25:34,2021-04-02 14:10:25,,2021-04-02 04:25:34,2021-04-02 14:10:25
133,56,772,568,2021-04-02 04:25:39,2021-04-03 14:41:49,,2021-04-02 04:25:39,2021-04-03 14:41:49
134,56,858,423,2021-04-02 04:25:44,2021-04-02 14:45:02,,2021-04-02 04:25:44,2021-04-02 14:45:02
135,56,1812,586,2021-04-02 04:25:52,2021-04-08 14:57:19,,2021-04-02 04:25:52,2021-04-08 14:57:19
136,56,1214,829,2021-04-02 04:26:02,2021-04-08 14:59:30,,2021-04-02 04:26:02,2021-04-08 14:59:30
137,56,1887,950,2021-04-02 04:26:49,2021-04-02 14:08:50,,2021-04-02 04:26:49,2021-04-02 14:08:50
138,56,1138,966,2021-04-02 04:26:56,2021-04-02 14:38:14,,2021-04-02 04:26:56,2021-04-02 14:38:14
139,56,1741,1347,2021-04-02 04:26:57,2021-04-03 14:47:10,,2021-04-02 04:26:57,2021-04-03 14:47:10
140,56,1032,1011,2021-04-02 04:27:06,2021-04-02 14:45:58,,2021-04-02 04:27:06,2021-04-02 14:45:58
141,56,1257,592,2021-04-02 04:27:09,2021-04-07 15:00:35,,2021-04-02 04:27:09,2021-04-07 15:00:35
142,56,1560,1323,2021-04-02 04:27:15,2021-04-04 02:59:45,,2021-04-02 04:27:15,2021-04-04 02:59:45
143,56,1917,810,2021-04-02 04:27:23,2021-04-04 15:00:31,,2021-04-02 04:27:23,2021-04-04 15:00:31
144,56,1688,1335,2021-04-02 04:27:30,2021-04-08 14:56:02,,2021-04-02 04:27:30,2021-04-08 14:56:02
145,56,1717,1029,2021-04-02 04:27:35,2021-04-02 14:29:00,,2021-04-02 04:27:35,2021-04-02 14:29:00
146,56,1714,991,2021-04-02 04:27:42,2021-04-08 14:57:42,,2021-04-02 04:27:42,2021-04-08 14:57:42
147,56,1031,916,2021-04-02 04:27:54,2021-04-02 14:29:03,,2021-04-02 04:27:54,2021-04-02 14:29:03
148,56,1575,1064,2021-04-02 04:28:09,2021-04-03 14:41:40,,2021-04-02 04:28:09,2021-04-03 14:41:40
149,56,1189,1210,2021-04-02 04:28:16,2021-04-04 03:13:46,,2021-04-02 04:28:16,2021-04-04 03:13:46
150,56,895,891,2021-04-02 04:28:17,2021-04-02 14:19:30,,2021-04-02 04:28:17,2021-04-02 14:19:30
151,56,847,1292,2021-04-02 04:28:22,2021-04-03 15:06:26,,2021-04-02 04:28:22,2021-04-03 15:06:26
152,56,1172,553,2021-04-02 04:28:27,2021-04-04 14:55:15,,2021-04-02 04:28:27,2021-04-04 14:55:15
153,56,1811,1139,2021-04-02 04:28:31,2021-04-02 14:49:29,,2021-04-02 04:28:31,2021-04-02 14:49:29
154,56,1267,563,2021-04-02 04:28:36,2021-04-04 14:34:13,,2021-04-02 04:28:36,2021-04-04 14:34:13
155,56,1215,813,2021-04-02 04:28:43,2021-04-03 14:44:18,,2021-04-02 04:28:43,2021-04-03 14:44:18
156,56,1488,403,2021-04-02 04:29:09,2021-04-02 14:00:05,,2021-04-02 04:29:09,2021-04-02 14:00:05
157,56,1580,603,2021-04-02 04:29:10,2021-04-03 14:54:00,,2021-04-02 04:29:10,2021-04-03 14:54:00
158,56,1919,1069,2021-04-02 04:29:17,2021-04-02 14:46:08,,2021-04-02 04:29:17,2021-04-02 14:46:08
159,56,1589,569,2021-04-02 04:29:40,2021-04-02 14:41:50,,2021-04-02 04:29:40,2021-04-02 14:41:50
160,56,1971,962,2021-04-02 04:29:43,2021-04-02 14:24:06,,2021-04-02 04:29:43,2021-04-02 14:24:06
161,56,1838,1034,2021-04-02 04:29:47,2021-04-02 14:19:56,,2021-04-02 04:29:47,2021-04-02 14:19:56
162,56,1212,994,2021-04-02 04:29:50,2021-04-02 14:19:59,,2021-04-02 04:29:50,2021-04-02 14:19:59
163,56,1669,567,2021-04-02 04:29:53,2021-04-02 14:46:58,,2021-04-02 04:29:53,2021-04-02 14:46:58
164,56,1678,1071,2021-04-02 04:30:12,2021-04-04 14:59:29,,2021-04-02 04:30:12,2021-04-04 14:59:29
165,56,1835,479,2021-04-02 04:30:13,2021-04-02 14:22:57,,2021-04-02 04:30:13,2021-04-02 14:22:57
166,56,1675,801,2021-04-02 04:30:17,2021-04-02 14:46:05,,2021-04-02 04:30:17,2021-04-02 14:46:05
167,56,1651,1296,2021-04-02 04:30:23,2021-04-02 14:46:03,,2021-04-02 04:30:23,2021-04-02 14:46:03
168,56,1193,1044,2021-04-02 04:30:26,2021-04-02 14:21:26,,2021-04-02 04:30:26,2021-04-02 14:21:26
169,56,731,1326,2021-04-02 04:30:36,2021-04-06 03:10:34,,2021-04-02 04:30:36,2021-04-06 03:10:34
170,56,1190,1014,2021-04-02 04:30:38,2021-04-02 14:28:50,,2021-04-02 04:30:38,2021-04-02 14:28:50
171,56,1763,1262,2021-04-02 04:30:54,2021-04-02 14:45:31,,2021-04-02 04:30:54,2021-04-02 14:45:31
172,56,698,963,2021-04-02 04:31:03,2021-04-08 14:54:43,,2021-04-02 04:31:03,2021-04-08 14:54:43
173,56,714,408,2021-04-02 04:31:03,2021-04-02 14:22:53,,2021-04-02 04:31:03,2021-04-02 14:22:53
174,56,1796,550,2021-04-02 04:31:10,2021-04-06 03:06:14,,2021-04-02 04:31:10,2021-04-06 03:06:14
175,56,1160,1027,2021-04-02 04:31:14,2021-04-02 14:06:43,,2021-04-02 04:31:14,2021-04-02 14:06:43
176,56,831,1257,2021-04-02 04:31:21,2021-04-03 14:47:29,,2021-04-02 04:31:21,2021-04-03 14:47:29
177,56,1815,927,2021-04-02 04:31:26,2021-04-02 14:35:06,,2021-04-02 04:31:26,2021-04-02 14:35:06
178,56,873,1168,2021-04-02 04:31:29,2021-04-03 14:58:31,,2021-04-02 04:31:29,2021-04-03 14:58:31
179,56,1616,473,2021-04-02 04:31:31,2021-04-02 14:14:01,,2021-04-02 04:31:31,2021-04-02 14:14:01
180,56,1042,588,2021-04-02 04:31:37,2021-04-02 14:45:36,,2021-04-02 04:31:37,2021-04-02 14:45:36
181,56,1119,1013,2021-04-02 04:31:44,2021-04-02 14:07:42,,2021-04-02 04:31:44,2021-04-02 14:07:42
182,56,1793,892,2021-04-02 04:31:45,2021-04-02 14:39:45,,2021-04-02 04:31:45,2021-04-02 14:39:45
183,56,1643,836,2021-04-02 04:31:48,2021-04-02 14:45:22,,2021-04-02 04:31:48,2021-04-02 14:45:22
184,56,1912,435,2021-04-02 04:32:13,2021-04-02 14:17:50,,2021-04-02 04:32:13,2021-04-02 14:17:50
185,56,809,809,2021-04-02 04:32:17,2021-04-08 15:03:55,,2021-04-02 04:32:17,2021-04-08 15:03:55
186,56,1725,1024,2021-04-02 04:32:22,2021-04-02 14:17:55,,2021-04-02 04:32:22,2021-04-02 14:17:55
187,56,1196,441,2021-04-02 04:32:31,2021-04-02 14:36:17,,2021-04-02 04:32:31,2021-04-02 14:36:17
188,56,1075,464,2021-04-02 04:32:34,2021-04-02 14:23:31,,2021-04-02 04:32:34,2021-04-02 14:23:31
189,56,1198,421,2021-04-02 04:32:43,2021-04-02 14:25:44,,2021-04-02 04:32:43,2021-04-02 14:25:44
190,56,1440,1255,2021-04-02 04:32:59,2021-04-03 02:32:19,,2021-04-02 04:32:59,2021-04-03 02:32:19
191,56,1831,498,2021-04-02 04:33:06,2021-04-02 14:36:15,,2021-04-02 04:33:06,2021-04-02 14:36:15
192,56,1197,1083,2021-04-02 04:33:17,2021-04-02 14:35:02,,2021-04-02 04:33:17,2021-04-02 14:35:02
193,56,1858,1344,2021-04-02 04:34:07,2021-04-02 14:45:54,,2021-04-02 04:34:07,2021-04-02 14:45:54
194,56,1648,799,2021-04-02 04:34:18,2021-04-02 14:45:57,,2021-04-02 04:34:18,2021-04-02 14:45:57
195,56,1745,1086,2021-04-02 04:34:23,2021-04-02 14:17:07,,2021-04-02 04:34:23,2021-04-02 14:17:07
196,56,1680,609,2021-04-02 04:34:26,2021-04-02 14:48:25,,2021-04-02 04:34:26,2021-04-02 14:48:25
197,56,1650,1328,2021-04-02 04:34:34,2021-04-02 14:46:00,,2021-04-02 04:34:34,2021-04-02 14:46:00
198,56,1715,407,2021-04-02 04:34:34,2021-04-02 14:14:05,,2021-04-02 04:34:34,2021-04-02 14:14:05
199,56,1852,1145,2021-04-02 04:34:41,2021-04-02 14:45:47,,2021-04-02 04:34:41,2021-04-02 14:45:47
200,56,1759,631,2021-04-02 04:34:49,2021-04-02 14:47:21,,2021-04-02 04:34:49,2021-04-02 14:47:21
201,56,1665,590,2021-04-02 04:35:04,2021-04-02 14:45:33,,2021-04-02 04:35:04,2021-04-02 14:45:33
202,56,1770,596,2021-04-02 04:35:11,2021-04-02 14:47:30,,2021-04-02 04:35:11,2021-04-02 14:47:30
203,56,1578,554,2021-04-02 04:35:15,2021-04-02 14:47:09,,2021-04-02 04:35:15,2021-04-02 14:47:09
204,56,1641,1379,2021-04-02 04:35:22,2021-04-02 14:45:51,,2021-04-02 04:35:22,2021-04-02 14:45:51
205,56,1666,1304,2021-04-02 04:35:27,2021-04-02 14:45:29,,2021-04-02 04:35:27,2021-04-02 14:45:29
206,56,1707,989,2021-04-02 04:35:32,2021-04-02 14:47:24,,2021-04-02 04:35:32,2021-04-02 14:47:24
207,56,1037,826,2021-04-02 04:35:40,2021-04-02 14:47:16,,2021-04-02 04:35:40,2021-04-02 14:47:16
208,56,1883,591,2021-04-02 04:35:57,2021-04-02 04:51:26,,2021-04-02 04:35:57,2021-04-02 04:51:26
209,56,1809,895,2021-04-02 04:35:59,2021-04-02 14:31:34,,2021-04-02 04:35:59,2021-04-02 14:31:34
210,56,1635,1289,2021-04-02 04:36:03,2021-04-02 14:47:12,,2021-04-02 04:36:03,2021-04-02 14:47:12
211,56,1299,414,2021-04-02 04:36:04,2021-04-02 14:51:15,,2021-04-02 04:36:04,2021-04-02 14:51:15
212,56,832,565,2021-04-02 04:36:11,2021-04-03 15:08:04,,2021-04-02 04:36:11,2021-04-03 15:08:04
213,56,1809,850,2021-04-02 04:36:30,2021-04-02 14:31:28,,2021-04-02 04:36:30,2021-04-02 14:31:28
214,56,1667,1297,2021-04-02 04:36:36,2021-04-02 14:45:26,,2021-04-02 04:36:36,2021-04-02 14:45:26
215,56,1862,1065,2021-04-02 04:36:47,2021-04-02 14:46:11,,2021-04-02 04:36:47,2021-04-02 14:46:11
216,56,1764,559,2021-04-02 04:37:12,2021-04-02 14:46:35,,2021-04-02 04:37:12,2021-04-02 14:46:35
217,56,1668,571,2021-04-02 04:37:45,2021-04-02 14:45:24,,2021-04-02 04:37:45,2021-04-02 14:45:24
218,56,1828,1002,2021-04-02 04:39:11,2021-04-02 14:25:13,,2021-04-02 04:39:11,2021-04-02 14:25:13
219,56,1646,1349,2021-04-02 04:39:26,2021-04-02 14:45:49,,2021-04-02 04:39:26,2021-04-02 14:45:49
220,56,1446,808,2021-04-02 04:39:31,2021-04-02 14:47:37,,2021-04-02 04:39:31,2021-04-02 14:47:37
221,56,1104,993,2021-04-02 04:40:29,2021-04-06 03:05:30,,2021-04-02 04:40:29,2021-04-06 03:05:30
222,56,851,1348,2021-04-02 04:40:44,2021-04-07 15:06:36,,2021-04-02 04:40:44,2021-04-07 15:06:36
223,56,1941,1362,2021-04-02 04:40:55,2021-04-02 14:48:34,,2021-04-02 04:40:55,2021-04-02 14:48:34
